State,CourtName,CaseTypeDescription,AppealByRight,AppealByPermission,OriginalProceeding,InterlocutoryAppeal,Exclusive,Limited,MinValue,MaxValue,Notes
Alabama,Circuit,Tort,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Contract,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Employment,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Real Property,False,False,False,False,False,False,10000,NOMAX,
Alabama,Circuit,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Civil Appeals from Limited Jurisdiction,True,False,False,False,False,False,-98,-98,
Indiana,Tax Court,Revenue (Tax),True,False,False,False,False,False,-98,-98,
Alabama,Circuit,Dissolution,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Paternity,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Custody,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Support,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Visitation,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Adoption,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Misdemeanor,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Felony,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Criminal Appeals,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Status Offenses,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Juvenile,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Alabama,Circuit,Civil Protections Orders,False,False,False,False,False,False,-98,-98,
Alabama,District,Tort,False,False,False,False,False,False,-98,-98,
Alabama,District,Contract,False,False,False,False,False,False,-98,-98,
Alabama,District,Employment,False,False,False,False,False,False,-98,-98,
Alabama,District,Real Property,False,False,False,False,False,False,3000,10000,
Alabama,District,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Alabama,District,Small Claims,False,False,False,False,False,False,0,3000,
Alabama,District,Paternity,False,False,False,False,False,False,-98,-98,
Alabama,District,Custody,False,False,False,False,False,False,-98,-98,
Alabama,District,Support,False,False,False,False,False,False,-98,-98,
Alabama,District,Visitation,False,False,False,False,False,False,-98,-98,
Alabama,District,Adoption,False,False,False,False,False,False,-98,-98,
Alabama,District,Misdemeanor,False,False,False,False,False,False,-98,-98,
Alabama,District,Preliminary Hearings,False,False,False,False,False,False,-98,-98,
Alabama,District,Status Offenses,False,False,False,False,False,False,-98,-98,
Alabama,District,Juvenile,False,False,False,False,False,False,-98,-98,
Alabama,District,Traffic Infractions,False,False,False,False,False,False,-98,-98,
Alabama,District,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Alabama,Municipal,Misdemeanor,False,False,False,False,False,False,-98,-98,
Alabama,Municipal,Traffic Infractions,False,False,False,False,False,False,-98,-98,
Alabama,Municipal,Ordinance Violations,False,False,False,False,True,False,-98,-98,
Alabama,Municipal,Parking,False,False,False,False,False,False,-98,-98,
Alabama,Probate,Real Property,False,False,False,False,False,False,-98,-98,
Alabama,Probate,Probate/Estate,False,False,False,False,False,False,-98,-98,
Alabama,Probate,Guardianship,False,False,False,False,False,False,-98,-98,
Alabama,Probate,Mental Health,False,False,False,False,True,False,-98,-98,
Alabama,Probate,Adoption,False,False,False,False,False,False,-98,-98,
Alabama,Probate,Probate/Wills/Interstate,False,False,False,False,False,False,-98,-98,
Alabama,Probate,Estate,False,False,False,False,False,False,-98,-98,
Alaska,District,Tort,False,False,False,False,False,False,-98,-98,
Alaska,District,Contract,False,False,False,False,False,False,0,100000,
Alaska,District,Employment,False,False,False,False,False,False,0,100000,
Alaska,District,Landlord/Tenant,False,False,False,False,False,False,0,100000,
Alaska,District,Small Claims,False,False,False,False,False,False,0,10000,
Alaska,District,Misdemeanor,False,False,False,False,False,False,-98,-98,
Alaska,District,Preliminary Hearings,False,False,False,False,False,False,-98,-98,
Alaska,District,Juvenile,False,False,False,False,False,True,-98,-98,Emergency.
Alaska,District,Traffic Infractions,False,False,False,False,True,False,-98,-98,
Alaska,District,Mortgage Foreclosure,False,False,False,False,False,False,0,100000,
Alaska,District,Ordinance Violations,False,False,False,False,True,False,-98,-98,
Alaska,District,Parking,False,False,False,False,True,False,-98,-98,Uncontested Handled Administratively.
Alaska,Superior,Tort,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Contract,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Employment,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Real Property,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Probate/Estate,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Guardianship,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Mental Health,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Writ,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Civil Appeals from Limited Jurisdiction,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Dissolution,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Paternity,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Custody,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Support,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Visitation,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Adoption,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Felony,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Criminal Appeals,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Status Offenses,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Juvenile,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Probate/Wills/Interstate,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Civil Protections Orders,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Estate,False,False,False,False,True,False,-98,-98,
Alaska,Superior,Tax,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Alaska,Superior,Administrative Agency Appeals,False,False,False,False,True,False,-98,-98,
Arizona,Justice of the Peace,Tort,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Contract,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Employment,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Real Property,False,False,False,False,False,False,0,10000,
Arizona,Justice of the Peace,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Small Claims,False,False,False,False,True,False,0,3500,
Arizona,Justice of the Peace,Misdemeanor,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Preliminary Hearings,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Traffic Infractions,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Ordinance Violations,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Parking,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Civil Protections Orders,False,False,False,False,False,False,-98,-98,
Arizona,Justice of the Peace,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Arizona,Municipal,Misdemeanor,False,False,False,False,False,False,-98,-98,
Arizona,Municipal,Traffic Infractions,False,False,False,False,False,False,-98,-98,
Arizona,Municipal,Ordinance Violations,False,False,False,False,False,False,-98,-98,
Arizona,Municipal,Parking,False,False,False,False,False,False,-98,-98,
Arizona,Municipal,Civil Protections Orders,False,False,False,False,False,False,-98,-98,
Arizona,Municipal,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Arizona,Superior,Tort,False,False,False,False,False,False,-98,-98,
Arizona,Superior,Contract,False,False,False,False,False,False,1000,NOMAX,
Arizona,Superior,Employment,False,False,False,False,False,False,1000,NOMAX,
Arizona,Superior,Real Property,False,False,False,False,False,False,-98,-98,
Arizona,Superior,Probate/Estate,False,False,False,False,True,False,-98,-98,
Arizona,Superior,Guardianship,False,False,False,False,True,False,-98,-98,
Arizona,Superior,Landlord/Tenant,False,False,False,False,False,False,1000,NOMAX,
Arizona,Superior,Mental Health,False,False,False,False,True,False,-98,-98,
Arizona,Superior,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Arizona,Superior,Writ,False,False,False,False,False,False,-98,-98,
