State,ChildCourtName,ParentCourtName
Alabama,Court of Civil Appeals,Supreme Court
Alabama,Court of Criminal Appeals,Supreme Court
Alabama,Circuit,Supreme Court
Alabama,Circuit,Court of Civil Appeals
Alabama,Circuit,Court of Criminal Appeals
Alabama,District,Circuit
Alabama,Municipal,Circuit
Alabama,Probate,Circuit
Alabama,Probate,Court of Civil Appeals
Alaska,Court of Appeals,Supreme Court
Alaska,District,Superior
Alaska,District,Court of Appeals
Alaska,Superior,Supreme Court
Alaska,Superior,Court of Appeals
,,
,,
,,
,,
Arizona,Court of Appeal Division One,Supreme Court
Arizona,Justice of the Peace,Superior
Arizona,Municipal,Superior
Arizona,Superior,Supreme Court
Arizona,Superior,Court of Appeal Division One
Arizona,Tax,Court of Appeal Division One
Arkansas,Court of Appeals,Supreme Court
Arkansas,Circuit,Supreme Court
Arkansas,Circuit,Court of Appeals
Arkansas,District,Circuit
California,Courts of Appeal 1st District,Supreme Court
California,Superior,Courts of Appeal 1st District
Colorado,Supreme Court,Court of Appeals
Colorado,County,District
Colorado,Denver Juvenile,Court of Appeals
Colorado,Denver Juvenile,Supreme Court
Colorado,Denver Probate,Supreme Court
Colorado,District,Supreme Court
Colorado,District,Court of Appeals
Colorado,Municipal,County
Colorado,Municipal,District
Colorado,Water,Court of Appeals
Connecticut,Appellate Court,Supreme Court
Connecticut,Probate,Superior
Connecticut,Superior,Appellate Court
Connecticut,Superior,Supreme Court
Delaware,Aldermans,Court of Common Pleas
Delaware,Court of Chancery,Supreme Court
Delaware,Court of Common Pleas,Superior
Delaware,Family,Superior
Delaware,Family,Supreme Court
Delaware,Justice of the Peace,Court of Common Pleas
Delaware,Superior,Supreme Court
District of Columbia,Superior,Court of Appeals
Florida,Fifth District Court of Appeal,Supreme Court
Florida,Circuit,Supreme Court
Florida,Circuit,Fifth District Court of Appeal
Florida,County,Circuit
Georgia,Court of Appeals,Supreme Court
Georgia,Civil,Court of Appeals
Georgia,County Recorder's,Superior
Georgia,Juvenile,Court of Appeals
