State,CourtNameName,NumberDivisions,NumberJudges,NumberPanels,PanelDecisionDescription,NumberOfIndividualCourts,CaseManagementDescription
Alabama,Court of Civil Appeals,-99,-99,,Missing information,,
Alabama,Court of Criminal Appeals,-99,-99,,Missing information,,
Alabama,Supreme Court,-99,-99,,Missing information,,
Alaska,Court of Appeals,0,3,,No,,
Alaska,Supreme Court,0,5,,No,,
Arizona,Court of Appeal Division One,0,16,5,Yes,,
Arizona,Court of Appeal  Division Two,0,6,2,Yes,,
Arizona,Supreme Court,0,7,1,Yes,,
Arkansas,Court of Appeals,4,12,4,Yes,,
Arkansas,Supreme Court,0,7,,No,,
California,Courts of Appeal 1st District,5,20,5,Yes,,
California,Courts of Appeal 2nd District,8,32,8,Yes,,
California,Courts of Appeal 3rd District,1,10,,Missing information,,
California,Courts of Appeal 4th District,3,21,,Missing information,,
California,Courts of Appeal 5th District,1,9,,Missing information,,
California,Courts of Appeal 6th District,1,7,,Missing information,,
California,Supreme Court,1,7,,No,,
Colorado,Court of Appeals,7,22,7,Yes,,
Colorado,Supreme Court,0,7,,No,,
Connecticut,Appellate Court,0,9,3,Yes,,
Connecticut,Supreme Court,0,7,,No,,
Delaware,Supreme Court,0,5,10,Yes,,
District of Columbia,Court of Appeals,5,9,2,Yes,,
Florida,Fifth District Court of Appeal,0,11,,No,,
Florida,First District Court of Appeal,0,15,4,Yes,,
Florida,Fourth District Court of Appeal,0,12,,No,,
Florida,Second District Court of Appeal,0,16,4,Yes,,
Florida,Supreme Court,0,7,1,Yes,,
Florida,Third District Court of Appeal,0,10,,Missing information,,
Georgia,Court of Appeals,5,15,5,Yes,,
Georgia,Supreme Court,0,9,,No,,
Guam,Supreme Court,5,3,1,Yes,,
Hawai'i,Intermediate Court of Appeals,0,6,2,Yes,,
Hawai'i,Supreme Court,0,5,,No,,
Idaho,Court of Appeals,-99,-99,,Missing information,,
Idaho,Supreme Court,-99,-99,,Missing information,,
Illinois,Fifth District Court of Appeals,0,7,,Missing information,,
Illinois,First District Court of Appeals,6,24,1,Yes,,
Illinois,Fourth District Court of Appeals,0,7,,Missing information,,
Illinois,Second District Court of Appeals,0,9,1,Yes,,
Illinois,Supreme Court,0,7,,No,,
Illinois,Third District Court of Appeals,0,7,,Missing information,,
Indiana,Court of Appeals,0,15,5,Yes,,
Indiana,Supreme Court,0,5,,No,,
Indiana,Tax Court,0,1,,No,,
Iowa,Court of Appeals,0,9,3,Yes,,
Iowa,Supreme Court,0,7,,No,,
Kansas,Court of Appeals,0,14,5,Yes,,
Kansas,Supreme Court,0,7,,No,,
Kentucky,Court of Appeals,3,14,3,Yes,,
Kentucky,Supreme Court,0,7,,No,,
Louisiana,Fifth Circuit Courts of Appeal,9,8,,Missing information,,
Louisiana,First Circuit Courts of Appeal,12,12,4,Yes,,
Louisiana,Fourth Circuit Courts of Appeal,12,12,,Missing information,,
Louisiana,Second Circuit Courts of Appeal,8,9,4,Yes,,
Louisiana,Supreme Court,7,7,,No,,
Louisiana,Third Circuit Courts of Appeal,12,12,,Missing information,,
Maine,Supreme Judicial Court,-99,-99,,Missing information,,
Maryland,Court of Appeals,0,7,,No,,
Maryland,Court of Special Appeals,0,15,5,Yes,,
Massachusetts,Appeals Court,0,25,1,Yes,,
Massachusetts,Supreme Judicial Court,0,7,,No,,
Michigan,Court of Appeals,4,27,9,Yes,,
Michigan,Supreme Court,1,7,,No,,
Minnesota,Court of Appeals,0,19,6,Yes,,
Minnesota,Supreme Court,0,7,,No,,
Mississippi,Court of Appeals,1,10,3,Yes,,
Mississippi,Supreme Court,1,9,3,Yes,,
Missouri,Court of Appeals Eastern,0,14,5,Yes,,
Missouri,Court of Appeals Southern,0,7,5,Yes,,
Missouri,Court of Appeals Western,0,11,,Missing information,,
Missouri,Supreme Court,0,7,,No,,
Montana,Supreme Court,-99,-99,,Missing information,,
Nebraska,Court of Appeals,-99,-99,,Missing information,,
Nebraska,Supreme Court,-99,-99,,Missing information,,
Nevada,Court of Appeals,0,3,,No,,
Nevada,Supreme Court,1,7,2,Yes,,
New Hampshire,Supreme Court,1,5,1,Yes,,
New Jersey,Appellate Division of Superior Court,8,33,8,Yes,,
New Jersey,Supreme Court,0,7,,No,,
New Mexico,Court of Appeals,0,10,3,Yes,,
New Mexico,Supreme Court,0,5,,No,,
New York,Court of Appeals,-99,7,,Missing information,,
New York,Supreme Ct. Appellate Div. 1st,-99,14,,Missing information,,
New York,Supreme Ct. Appellate Div. 2nd,-99,20,,Missing information,,
New York,Supreme Ct. Appellate Div. 3rd,-99,9,,Missing information,,
New York,Supreme Ct. Appellate Div. 4th,-99,10,,Missing information,,
New York,Supreme Ct. Appellate Term 1st,-99,0,,Missing information,,
New York,Supreme Ct. Appellate Term 2nd,-99,0,,Missing information,,
North Carolina,Court of Appeals,1,15,5,Yes,,
North Carolina,Supreme Court,1,7,,No,,
North Dakota,Supreme Court,1,5,,No,,
North Dakota,Temporary Court of Appeals,1,3,,No,,
Ohio,Court of Appeals 1st District,0,6,2,Yes,,
Ohio,Court of Appeals 2nd District,0,5,2,Yes,,
Ohio,Court of Appeals 3rd District,0,4,,Missing information,,
Ohio,Court of Appeals 4th District,0,4,,Missing information,,
Ohio,Court of Appeals 5th District,0,6,,Missing information,,
Ohio,Court of Appeals 6th District,0,5,,Missing information,,
Ohio,Court of Appeals 7th District,0,4,,Missing information,,
Ohio,Court of Appeals 8th District,0,12,,Missing information,,
Ohio,Court of Appeals 9th District,0,5,,Missing information,,
Ohio,Court of Appeals 10th District,0,8,,Missing information,,
Ohio,Court of Appeals 11th District,0,5,,Missing information,,
Ohio,Court of Appeals 12th District,0,5,,Missing information,,
Ohio,Supreme Court,0,7,,No,,
Oklahoma,Court of Civil Appeals,-99,-99,,Missing information,,
Oklahoma,Court of Criminal Appeals,-99,-99,,Missing information,,
Oklahoma,Supreme Court,-99,-99,,Missing information,,
Oregon,Court of Appeals,0,13,4,Yes,,
Oregon,Supreme Court,0,7,,No,,
Pennsylvania,Commonwealth Court,0,9,1,Yes,,
Pennsylvania,Superior Court,3,23,1,Yes,,
Pennsylvania,Supreme Court,0,7,,No,,
Puerto Rico,Court of Appeals,-99,-99,,Missing information,,
Puerto Rico,Supreme Court,-99,-99,,Missing information,,
Rhode Island,Supreme Court,0,5,,No,,
South Carolina,Court of Appeals,0,8,3,Yes,,
South Carolina,Supreme Court,0,5,,No,,
South Dakota,Supreme Court,0,5,,No,,
Tennessee,Court of Appeals,3,12,3,Yes,,
Tennessee,Court of Criminal Appeals,3,12,3,Yes,,
Tennessee,Supreme Court,0,5,,No,,
Texas,Court of Appeals 1st District,0,9,3,Yes,,
Texas,Court of Appeals 2nd District,0,7,,Missing information,,
Texas,Court of Appeals 3rd District,0,6,,Missing information,,
Texas,Court of Appeals 4th District,0,7,,Missing information,,
Texas,Court of Appeals 5th District,0,13,,Missing information,,
Texas,Court of Appeals 6th District,0,3,,Missing information,,
Texas,Court of Appeals 7th District,0,4,,Missing information,,
Texas,Court of Appeals 8th District,0,3,,Missing information,,
Texas,Court of Appeals 9th District,0,4,,Missing information,,
Texas,Court of Appeals 10th District,0,3,,Missing information,,
Texas,Court of Appeals 11th District,0,3,,Missing information,,
Texas,Court of Appeals 12th District,0,3,,Missing information,,
Texas,Court of Appeals 13th District,0,6,,Missing information,,
Texas,Court of Appeals 14th District,0,9,,Missing information,,
Texas,Court of Criminal Appeals,0,9,,No,,
Texas,Supreme Court,0,9,,No,,
Utah,Court of Appeals,0,7,2,Yes,,
Utah,Supreme Court,0,5,1,Yes,,
Vermont,Supreme Court,1,5,,No,,
Virginia,Court of Appeals,0,11,30,Yes,,
Virginia,Supreme Court,0,7,3,Yes,,
Washington,Courts of Appeals Division I,0,10,10,Yes,,
Washington,Courts of Appeals Division II,0,7,12,Yes,,
Washington,Courts of Appeals Division III,0,5,,Missing information,,
Washington,Supreme Court,0,9,,No,,
West Virginia,Supreme Court of Appeals,0,5,,No,,
Wisconsin,Court of Appeals,0,16,4,Yes,,
Wisconsin,Supreme Court,0,7,,No,,
Wyoming,Supreme Court,-99,-99,,Missing information,,
Alabama,Circuit,-98,-99,,,,All courts on the same case management system
Alabama,District,-98,-99,,,,All courts on the same case management system
Alabama,Municipal,-98,-99,,,,All courts on the same case management system
Alabama,Probate,-98,-99,,,,All courts on the same case management system
Alaska,Superior,-98,23,,,16.0,All courts on the same case management system
Alaska,District,-98,42,,,26.0,All courts on the same case management system
Arizona,Superior,-98,88,,,81.0,All courts on the same case management system
Arizona,Tax,-98,138,,,82.0,All courts on the same case management system
Arizona,Justice of the Peace,-98,180,,,15.0,Not all courts on the same case management system
Arizona,Municipal,-98,1,,,1.0,All courts on the same case management system
Arkansas,Circuit,-98,121,,,28.0,All courts on the same case management system
Arkansas,District,-98,110,,,84.0,All courts on the same case management system
California,Superior,-98,1680,,,58.0,All courts on the same case management system
Colorado,Denver Juvenile,-98,136,,,64.0,All courts on the same case management system
Colorado,Denver Probate,-98,3,,,1.0,All courts on the same case management system
Colorado,District,-98,1,,,1.0,All courts on the same case management system
Colorado,Water,-98,177,,,22.0,All courts on the same case management system
Colorado,County,-98,-99,,,,Not all courts on the same case management system
Colorado,Municipal,-98,7,,,7.0,Not all courts on the same case management system
Connecticut,Superior,-98,-99,,,,Not all courts on the same case management system
Connecticut,Probate,-98,163,,,43.0,Not all courts on the same case management system
Delaware,Court of Chancery,-98,6,,,6.0,Not all courts on the same case management system
Delaware,Superior,-98,5,,,3.0,Not all courts on the same case management system
