State,CourtName,CourtLevelDescription,FundingDescription,AppealFromAdminAgency,Notes,Link
Alabama,Supreme Court,Court of Last Resort,State funded,No,Assigns cases to the Court of Civil Appeals.,http://judicial.alabama.gov/supreme.cfm
Alabama,Court of Civil Appeals,Intermediate Appellate Court,State funded,No,-99,http://judicial.alabama.gov/civil.cfm
Alabama,Court of Criminal Appeals,Intermediate Appellate Court,State funded,No,-99,http://judicial.alabama.gov/criminal.cfm
Alabama,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials.,http://judicial.alabama.gov/
Alabama,District,Limited Jurisdiction,State and local funding,No,No jury trials.,-99
Alabama,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Alabama,Probate,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Alaska,Supreme Court,Court of Last Resort,State funded,No,-99,http://courts.alaska.gov/appellate/appcts.htm
Alaska,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,http://courts.alaska.gov/appellate/appcts.htm
Alaska,District,Limited Jurisdiction,State funded,Yes,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs
Alaska,Superior,General Jurisdiction,State funded,No,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs
Arizona,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.azcourts.gov/AZ-Supreme-Court
Arizona,Court of Appeal,Intermediate Appellate Court,State funded,Yes,-99,http://www.azcourts.gov/AZ-Courts/Court-of-Appeals
Arizona,Justice of the Peace,Limited Jurisdiction,State and local funding,No,Jury trials except in small claims.,http://justicecourts.maricopa.gov/Judges/index.aspx/
Arizona,Municipal,Limited Jurisdiction,State and local funding,No,Jury trials.,http://www.azcourts.gov/AZ-Courts/City-Courts
Arizona,Superior,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.azcourts.gov/AZ-Courts/Superior-Court
Arizona,Tax,General Jurisdiction,State and local funding,No,No jury trials.,http://www.superiorcourt.maricopa.gov/SuperiorCourt/TaxCourt/index.asp
Arkansas,Supreme Court,Court of Last Resort,State funded,No,May reassign cases from Court of Appeals.,https://courts.arkansas.gov/courts/supreme-court
Arkansas,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,https://courts.arkansas.gov/courts/court-of-appeals
Arkansas,Circuit,General Jurisdiction,State and local funding,No,Jury trials.,https://courts.arkansas.gov/courts/circuit-courts
Arkansas,District,Limited Jurisdiction,Locally funded,No,No jury trials.,https://courts.arkansas.gov/courts/district-courts
California,Supreme Court,Court of Last Resort,State funded,Yes,-99,http://www.courts.ca.gov/supremecourt.htm
California,Court of Appeal,Intermediate Appellate Court,State funded,Yes,-99,http://www.courts.ca.gov/courtsofappeal.htm
California,Superior,General Jurisdiction,State funded,Yes,"Jury trials except in appeals, domestic relations, and juvenile cases.",http://www.courts.ca.gov/superiorcourts.htm
Colorado,Supreme Court,Court of Last Resort,State funded,Yes,-99,https://www.courts.state.co.us/Courts/Supreme_Court/Index.cfm
Colorado,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,https://www.courts.state.co.us/Courts/Court_Of_Appeals/Index.cfm
Colorado,County,Limited Jurisdiction,State and local funding,No,Jury trials except in small claims and appeals.,https://www.courts.state.co.us/Courts/County/Choose.cfm
Colorado,Denver Juvenile,General Jurisdiction,State funded,No,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Juvenile/Index.cfm
Colorado,Denver Probate,General Jurisdiction,State funded,No,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Probate/Index.cfm
Colorado,District,General Jurisdiction,State funded,Yes,Jury trials except in appeals.,https://www.courts.state.co.us/Courts/District/Choose.cfm
Colorado,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Colorado,Water,General Jurisdiction,State funded,No,District court judges serve jury trials.,https://www.courts.state.co.us/Courts/Water/Index.cfm
Connecticut,Supreme Court,Court of Last Resort,State funded,No,-99,https://www.jud.state.ct.us/external/supapp/Default.htm
Connecticut,Appellate Court,Intermediate Appellate Court,State funded,Yes,-99,https://www.jud.state.ct.us/external/supapp/appellate.htm
Connecticut,Probate,Limited Jurisdiction,Locally funded,No,No jury trials.,http://www.ctprobate.gov/Pages/Welcome.aspx
Connecticut,Superior,General Jurisdiction,State funded,Yes,Jury trials in most cases.,https://www.jud.state.ct.us/external/super/default.htm
Delaware,Supreme Court,Court of Last Resort,State funded,No,-99,https://courts.delaware.gov/supreme/
Delaware,Aldermans,Limited Jurisdiction,Locally funded,No,No jury trials. Jurisdiction varies by localities.,-99
Delaware,Court of Chancery,General Jurisdiction,State funded,No,No jury trials.,https://courts.delaware.gov/chancery/
Delaware,Court of Common Pleas,Limited Jurisdiction,State funded,Yes,Jury trials in some cases.,https://courts.delaware.gov/commonpleas/
Delaware,Family,Limited Jurisdiction,State funded,No,No jury trials.,https://courts.delaware.gov/family/
Delaware,Justice of the Peace,Limited Jurisdiction,State funded,No,Jury trials in Landlord/Tenant.,https://courts.delaware.gov/jpcourt/
Delaware,Superior,General Jurisdiction,State funded,Yes,Jury trials except in appeals.,https://courts.delaware.gov/superior/
District of Columbia,Court of Appeals,Court of Last Resort,State funded,Yes,-99,https://www.dccourts.gov/internet/appellate/main.jsf
District of Columbia,Superior,General Jurisdiction,State funded,Yes,Jury trials.,https://www.dccourts.gov/internet/superior/main.jsf
Florida,Supreme Court,Court of Last Resort,State funded,Yes,-99,http://www.floridasupremecourt.org/
Florida,District Court of Appeal,Intermediate Appellate Court,State funded,Yes,-99,http://www.flcourts.org/florida-courts/district-court-appeal.stml
Florida,Circuit,General Jurisdiction,State and local funding,No,Jury trials except in appeals.,http://www.flcourts.org/florida-courts/trial-courts-circuit.stml
Florida,County,Limited Jurisdiction,State and local funding,No,Jury trials.,http://www.flcourts.org/florida-courts/trial-courts-county.stml
Georgia,Supreme Court,Court of Last Resort,State funded,No,-99,https://www.gasupreme.us/
Georgia,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,http://www.gaappeals.us/
