CourtCaseTypeID,CourtID,CaseTypeID,AppealByRight,AppealByPermission,OriginalProceeding,InterlocutoryAppeal,Exclusive,Limited,MinValue,MaxValue,Notes,DisplayOrder,State,CourtName,CaseTypeDescription
1,106,1,False,False,False,False,False,False,-98,-98,,1,Alabama,Circuit,Tort
2,106,2,False,False,False,False,False,False,-98,-98,,2,Alabama,Circuit,Contract
3,106,53,False,False,False,False,False,False,-98,-98,,3,Alabama,Circuit,Employment
4,106,3,False,False,False,False,False,False,10000,NOMAX,,4,Alabama,Circuit,Real Property
5,106,6,False,False,False,False,False,False,-98,-98,,5,Alabama,Circuit,Landlord/Tenant
6,106,12,True,False,False,False,False,False,-98,-98,,6,Alabama,Circuit,Civil Appeals from Limited Jurisdiction
4471,32,55,True,False,False,False,False,False,-98,-98,,766,Indiana,Tax Court,Revenue (Tax)
8,106,14,False,False,False,False,False,False,-98,-98,,8,Alabama,Circuit,Dissolution
9,106,15,False,False,False,False,False,False,-98,-98,,9,Alabama,Circuit,Paternity
10,106,16,False,False,False,False,False,False,-98,-98,,10,Alabama,Circuit,Custody
11,106,17,False,False,False,False,False,False,-98,-98,,11,Alabama,Circuit,Support
12,106,18,False,False,False,False,False,False,-98,-98,,12,Alabama,Circuit,Visitation
13,106,19,False,False,False,False,False,False,-98,-98,,13,Alabama,Circuit,Adoption
14,106,20,False,False,False,False,False,False,-98,-98,,14,Alabama,Circuit,Misdemeanor
15,106,21,False,False,False,False,False,False,-98,-98,,15,Alabama,Circuit,Felony
16,106,23,False,False,False,False,False,False,-98,-98,,16,Alabama,Circuit,Criminal Appeals
17,106,24,False,False,False,False,False,False,-98,-98,,17,Alabama,Circuit,Status Offenses
18,106,25,False,False,False,False,False,False,-98,-98,,18,Alabama,Circuit,Juvenile
19,106,27,False,False,False,False,False,False,-98,-98,,19,Alabama,Circuit,Mortgage Foreclosure
20,106,46,False,False,False,False,False,False,-98,-98,,20,Alabama,Circuit,Civil Protections Orders
22,107,1,False,False,False,False,False,False,-98,-98,,21,Alabama,District,Tort
23,107,2,False,False,False,False,False,False,-98,-98,,22,Alabama,District,Contract
24,107,53,False,False,False,False,False,False,-98,-98,,23,Alabama,District,Employment
25,107,3,False,False,False,False,False,False,3000,10000,,24,Alabama,District,Real Property
26,107,6,False,False,False,False,False,False,-98,-98,,25,Alabama,District,Landlord/Tenant
27,107,9,False,False,False,False,False,False,0,3000,,26,Alabama,District,Small Claims
28,107,15,False,False,False,False,False,False,-98,-98,,27,Alabama,District,Paternity
29,107,16,False,False,False,False,False,False,-98,-98,,28,Alabama,District,Custody
30,107,17,False,False,False,False,False,False,-98,-98,,29,Alabama,District,Support
31,107,18,False,False,False,False,False,False,-98,-98,,30,Alabama,District,Visitation
32,107,19,False,False,False,False,False,False,-98,-98,,31,Alabama,District,Adoption
33,107,20,False,False,False,False,False,False,-98,-98,,32,Alabama,District,Misdemeanor
34,107,22,False,False,False,False,False,False,-98,-98,,33,Alabama,District,Preliminary Hearings
35,107,24,False,False,False,False,False,False,-98,-98,,34,Alabama,District,Status Offenses
36,107,25,False,False,False,False,False,False,-98,-98,,35,Alabama,District,Juvenile
37,107,26,False,False,False,False,False,False,-98,-98,,36,Alabama,District,Traffic Infractions
38,107,27,False,False,False,False,False,False,-98,-98,,37,Alabama,District,Mortgage Foreclosure
39,108,20,False,False,False,False,False,False,-98,-98,,38,Alabama,Municipal,Misdemeanor
40,108,26,False,False,False,False,False,False,-98,-98,,39,Alabama,Municipal,Traffic Infractions
