AppealProcessID,ChildCourtID,ParentCourtID,State,ChildCourtName,ParentCourtName
1,2,1,Alabama,Court of Civil Appeals,Supreme Court
2,3,1,Alabama,Court of Criminal Appeals,Supreme Court
3,106,1,Alabama,Circuit,Supreme Court
4,106,2,Alabama,Circuit,Court of Civil Appeals
5,106,3,Alabama,Circuit,Court of Criminal Appeals
6,107,106,Alabama,District,Circuit
7,108,106,Alabama,Municipal,Circuit
8,109,106,Alabama,Probate,Circuit
9,109,2,Alabama,Probate,Court of Civil Appeals
10,5,4,Alaska,Court of Appeals,Supreme Court
11,110,111,Alaska,District,Superior
12,110,5,Alaska,District,Court of Appeals
13,111,4,Alaska,Superior,Supreme Court
14,111,5,Alaska,Superior,Court of Appeals
15,6,-98,,,
16,112,-98,,,
17,113,-98,,,
18,114,-98,,,
19,8,7,Arizona,Court of Appeal Division One,Supreme Court
20,115,117,Arizona,Justice of the Peace,Superior
21,116,117,Arizona,Municipal,Superior
22,117,7,Arizona,Superior,Supreme Court
23,117,8,Arizona,Superior,Court of Appeal Division One
24,118,8,Arizona,Tax,Court of Appeal Division One
25,10,9,Arkansas,Court of Appeals,Supreme Court
26,119,9,Arkansas,Circuit,Supreme Court
27,119,10,Arkansas,Circuit,Court of Appeals
28,120,119,Arkansas,District,Circuit
29,12,11,California,Courts of Appeal 1st District,Supreme Court
30,121,12,California,Superior,Courts of Appeal 1st District
31,14,13,Colorado,Supreme Court,Court of Appeals
32,122,125,Colorado,County,District
33,123,13,Colorado,Denver Juvenile,Court of Appeals
34,123,14,Colorado,Denver Juvenile,Supreme Court
35,124,14,Colorado,Denver Probate,Supreme Court
36,125,14,Colorado,District,Supreme Court
37,125,13,Colorado,District,Court of Appeals
38,126,122,Colorado,Municipal,County
39,126,125,Colorado,Municipal,District
40,127,13,Colorado,Water,Court of Appeals
41,16,15,Connecticut,Appellate Court,Supreme Court
42,128,129,Connecticut,Probate,Superior
43,129,16,Connecticut,Superior,Appellate Court
44,129,15,Connecticut,Superior,Supreme Court
45,130,132,Delaware,Aldermans,Court of Common Pleas
46,131,17,Delaware,Court of Chancery,Supreme Court
