USStateCourtID,CourtID,USStateID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder,State,FundingDescription,CourtLevelDescription
1,1,1,Supreme Court,COLR      ,COLR      ,S,No,Assigns cases to the Court of Civil Appeals.,http://judicial.alabama.gov/supreme.cfm,1,Alabama,State funded,Court of Last Resort
2,2,1,Court of Civil Appeals,IAC       ,IAC       ,S,No,,http://judicial.alabama.gov/civil.cfm,2,Alabama,State funded,Intermediate Appellate Court
3,3,1,Court of Criminal Appeals,IAC       ,IAC       ,S,No,,http://judicial.alabama.gov/criminal.cfm,3,Alabama,State funded,Intermediate Appellate Court
4,106,1,Circuit,GJ        ,GJ        ,M,Yes,Jury trials.,http://judicial.alabama.gov/,4,Alabama,State and local funding,General Jurisdiction
5,107,1,District,LJ        ,LJ        ,M,No,No jury trials.,-99,5,Alabama,State and local funding,Limited Jurisdiction
6,108,1,Municipal,LJ        ,LJ        ,L,No,No jury trials.,-99,6,Alabama,Locally funded,Limited Jurisdiction
7,109,1,Probate,LJ        ,GJ        ,L,No,No jury trials.,-99,7,Alabama,Locally funded,Limited Jurisdiction
8,4,2,Supreme Court,COLR      ,COLR      ,S,No,,http://courts.alaska.gov/appellate/appcts.htm,8,Alaska,State funded,Court of Last Resort
9,5,2,Court of Appeals,IAC       ,IAC       ,S,No,,http://courts.alaska.gov/appellate/appcts.htm,9,Alaska,State funded,Intermediate Appellate Court
10,110,2,District,LJ        ,LJ        ,S,Yes,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs,10,Alaska,State funded,Limited Jurisdiction
11,111,2,Superior,GJ        ,GJ        ,S,No,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs,11,Alaska,State funded,General Jurisdiction
12,7,3,Supreme Court,COLR      ,COLR      ,S,No,,http://www.azcourts.gov/AZ-Supreme-Court,12,Arizona,State funded,Court of Last Resort
13,8,3,Court of Appeal,IAC       ,IAC       ,S,Yes,,http://www.azcourts.gov/AZ-Courts/Court-of-Appeals,13,Arizona,State funded,Intermediate Appellate Court
14,115,3,Justice of the Peace,LJ        ,LJ        ,M,No,Jury trials except in small claims.,http://justicecourts.maricopa.gov/Judges/index.aspx/,14,Arizona,State and local funding,Limited Jurisdiction
15,116,3,Municipal,LJ        ,LJ        ,M,No,Jury trials.,http://www.azcourts.gov/AZ-Courts/City-Courts,15,Arizona,State and local funding,Limited Jurisdiction
16,117,3,Superior,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.azcourts.gov/AZ-Courts/Superior-Court,16,Arizona,State and local funding,General Jurisdiction
17,118,3,Tax,GJ        ,GJ        ,M,No,No jury trials.,http://www.superiorcourt.maricopa.gov/SuperiorCourt/TaxCourt/index.asp,17,Arizona,State and local funding,General Jurisdiction
18,9,4,Supreme Court,COLR      ,COLR      ,S,No,May reassign cases from Court of Appeals.,https://courts.arkansas.gov/courts/supreme-court,18,Arkansas,State funded,Court of Last Resort
19,10,4,Court of Appeals,IAC       ,IAC       ,S,Yes,,https://courts.arkansas.gov/courts/court-of-appeals,19,Arkansas,State funded,Intermediate Appellate Court
20,119,4,Circuit,GJ        ,GJ        ,M,No,Jury trials.,https://courts.arkansas.gov/courts/circuit-courts,20,Arkansas,State and local funding,General Jurisdiction
21,120,4,District,LJ        ,LJ        ,L,No,No jury trials.,https://courts.arkansas.gov/courts/district-courts,21,Arkansas,Locally funded,Limited Jurisdiction
22,11,5,Supreme Court,COLR      ,COLR      ,S,Yes,,http://www.courts.ca.gov/supremecourt.htm,22,California,State funded,Court of Last Resort
23,12,5,Court of Appeal,IAC       ,IAC       ,S,Yes,,http://www.courts.ca.gov/courtsofappeal.htm,23,California,State funded,Intermediate Appellate Court
24,121,5,Superior,GJ        ,GJ        ,S,Yes,"Jury trials except in appeals, domestic relations, and juvenile cases.",http://www.courts.ca.gov/superiorcourts.htm,24,California,State funded,General Jurisdiction
25,13,6,Supreme Court,COLR      ,COLR      ,S,Yes,,https://www.courts.state.co.us/Courts/Supreme_Court/Index.cfm,25,Colorado,State funded,Court of Last Resort
26,14,6,Court of Appeals,IAC       ,IAC       ,S,Yes,,https://www.courts.state.co.us/Courts/Court_Of_Appeals/Index.cfm,26,Colorado,State funded,Intermediate Appellate Court
27,122,6,County,LJ        ,LJ        ,M,No,Jury trials except in small claims and appeals.,https://www.courts.state.co.us/Courts/County/Choose.cfm,27,Colorado,State and local funding,Limited Jurisdiction
28,123,6,Denver Juvenile,GJ        ,GJ        ,S,No,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Juvenile/Index.cfm,28,Colorado,State funded,General Jurisdiction
29,124,6,Denver Probate,GJ        ,GJ        ,S,No,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Probate/Index.cfm,29,Colorado,State funded,General Jurisdiction
30,125,6,District,GJ        ,GJ        ,S,Yes,Jury trials except in appeals.,https://www.courts.state.co.us/Courts/District/Choose.cfm,30,Colorado,State funded,General Jurisdiction
31,126,6,Municipal,LJ        ,LJ        ,L,No,Jury trials.,-99,31,Colorado,Locally funded,Limited Jurisdiction
32,127,6,Water,GJ        ,GJ        ,S,No,District court judges serve jury trials.,https://www.courts.state.co.us/Courts/Water/Index.cfm,32,Colorado,State funded,General Jurisdiction
33,15,7,Supreme Court,COLR      ,COLR      ,S,No,,https://www.jud.state.ct.us/external/supapp/Default.htm,33,Connecticut,State funded,Court of Last Resort
34,16,7,Appellate Court,IAC       ,IAC       ,S,Yes,,https://www.jud.state.ct.us/external/supapp/appellate.htm,34,Connecticut,State funded,Intermediate Appellate Court
35,128,7,Probate,LJ        ,LJ        ,L,No,No jury trials.,http://www.ctprobate.gov/Pages/Welcome.aspx,35,Connecticut,Locally funded,Limited Jurisdiction
36,129,7,Superior,GJ        ,GJ        ,S,Yes,Jury trials in most cases.,https://www.jud.state.ct.us/external/super/default.htm,36,Connecticut,State funded,General Jurisdiction
37,17,8,Supreme Court,COLR      ,COLR      ,S,No,,https://courts.delaware.gov/supreme/,37,Delaware,State funded,Court of Last Resort
38,130,8,Aldermans,LJ        ,LJ        ,L,No,No jury trials. Jurisdiction varies by localities.,-99,38,Delaware,Locally funded,Limited Jurisdiction
39,131,8,Court of Chancery,GJ        ,GJ        ,S,No,No jury trials.,https://courts.delaware.gov/chancery/,39,Delaware,State funded,General Jurisdiction
40,132,8,Court of Common Pleas,LJ        ,LJ        ,S,Yes,Jury trials in some cases.,https://courts.delaware.gov/commonpleas/,40,Delaware,State funded,Limited Jurisdiction
41,133,8,Family,LJ        ,GJ        ,S,No,No jury trials.,https://courts.delaware.gov/family/,41,Delaware,State funded,Limited Jurisdiction
42,134,8,Justice of the Peace,LJ        ,LJ        ,S,No,Jury trials in Landlord/Tenant.,https://courts.delaware.gov/jpcourt/,42,Delaware,State funded,Limited Jurisdiction
43,135,8,Superior,GJ        ,GJ        ,S,Yes,Jury trials except in appeals.,https://courts.delaware.gov/superior/,43,Delaware,State funded,General Jurisdiction
44,18,9,Court of Appeals,COLR      ,COLR      ,S,Yes,,https://www.dccourts.gov/internet/appellate/main.jsf,44,District of Columbia,State funded,Court of Last Resort
45,136,9,Superior,GJ        ,GJ        ,S,Yes,Jury trials.,https://www.dccourts.gov/internet/superior/main.jsf,45,District of Columbia,State funded,General Jurisdiction
46,19,10,Supreme Court,COLR      ,COLR      ,S,Yes,,http://www.floridasupremecourt.org/,46,Florida,State funded,Court of Last Resort
47,20,10,District Court of Appeal,IAC       ,IAC       ,S,Yes,,http://www.flcourts.org/florida-courts/district-court-appeal.stml,47,Florida,State funded,Intermediate Appellate Court
48,137,10,Circuit,GJ        ,GJ        ,M,No,Jury trials except in appeals.,http://www.flcourts.org/florida-courts/trial-courts-circuit.stml,48,Florida,State and local funding,General Jurisdiction
49,138,10,County,LJ        ,LJ        ,M,No,Jury trials.,http://www.flcourts.org/florida-courts/trial-courts-county.stml,49,Florida,State and local funding,Limited Jurisdiction
50,21,11,Supreme Court,COLR      ,COLR      ,S,No,,https://www.gasupreme.us/,50,Georgia,State funded,Court of Last Resort
51,22,11,Court of Appeals,IAC       ,IAC       ,S,No,,http://www.gaappeals.us/,51,Georgia,State funded,Intermediate Appellate Court
52,139,11,Civil,LJ        ,LJ        ,L,No,,http://www.georgiacourts.org/courts/civil/bibb/index.html,52,Georgia,Locally funded,Limited Jurisdiction
53,140,11,County Recorder's,LJ        ,LJ        ,L,No,No jury trials.,http://www.ncsconline.org/D_KIS/CourtWebSites/CtWeb_GAlimited.htm,53,Georgia,Locally funded,Limited Jurisdiction
54,141,11,Juvenile,LJ        ,GJ        ,M,No,No jury trials.,-99,54,Georgia,State and local funding,Limited Jurisdiction
